split_idx,mean_mse,sigma_mse,per_correct,epi_score
0,0.00197208814112447,0.031518925613400306,0.965,140.9241
1,0.007020662948042478,0.02764406558082882,0.872,90.04242
2,0.0020630042000054256,0.028134364983001,0.5,5.332264
3,0.0034733446347863526,0.021424638676713365,0.5,17.978016
4,0.005105385756335775,0.029710166488384922,0.5,15.254871
5,0.0028348664952823053,0.02541414878880593,0.5,-1.5680146
