split_idx,mean_mse,sigma_mse,per_correct,epi_score
1,0.5589842007792798,0.16586780484330726,0.2,-45.92785
2,0.5421121773292183,0.16441052677269719,0.2,-48.918034
3,0.5420512126823068,0.16440332751179165,0.2,-48.947075
4,0.5371261525869391,0.16493755046088762,0.2,-47.15968
5,0.5378231028681089,0.1652267151027755,0.2,-47.048
